"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript", "SCSS", "XML", "wxml", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\Administrator\WeChatProjects\miniprogram-2\.eslintrc.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 6, 1, 32
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\app.json", "JSON", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\app.scss", "SCSS", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 1, 11
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\app.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 2, 18
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\custom-tab-bar\index.js", "JavaScript", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 30
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\custom-tab-bar\index.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\custom-tab-bar\index.wxml", "wxml", 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 0, 11
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\custom-tab-bar\index.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 5, 42
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\image\add.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\image\addActive.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\image\viewList.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\image\viewListActive.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\dayjs\index.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 0, 13
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\.wechatide.ib.json", "JSON", 3895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3896
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\action-sheet\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 25, 93
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\action-sheet\action-sheet.d.ts", "TypeScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 1, 59
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\action-sheet\action-sheet.js", "JavaScript", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 1, 92
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\action-sheet\action-sheet.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\action-sheet\action-sheet.wxml", "wxml", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 1, 33
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\action-sheet\action-sheet.wxs", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\action-sheet\action-sheet.wxss", "CSS", 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 1, 135
"c:\Users\Administrator\WeChatProjects\miniprogram-2\miniprogram\miniprogram_npm\tdesign-miniprogram\action-sheet\index.d.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
